pass_end_zone,sum_gpa,n_passes,team_id,pct_gpa,player_id
0,0.034574766713284036,7,3500,0.01913185241533244,34160
1,-0.02049553867853561,25,3500,-0.011341150163706664,34160
2,-0.052970737988593725,65,3500,-0.029311212709922565,34160
3,-0.0017208491430129994,5,3500,-9.522271576318862e-4,34160
4,0.00547224532134254,3,3500,0.0030280519529346287,34160
5,0.06409796443499889,65,3500,0.035468432972028195,34160
6,0.07960665482168994,68,3500,0.044050124298936226,34160
7,0.03150099910048582,52,3500,0.01743099152985639,34160
8,0.03637401766190114,72,3500,0.020127462997250368,34160
9,0.003978367408246169,17,3500,0.0022014187034063368,34160
10,0.18286763284865515,136,3500,0.10118930352341225,34160
11,0.1186885344392536,104,3500,0.06567597528898031,34160
12,0.038456799129183074,40,3500,0.021279964414710913,34160
13,0.014947926479720534,25,3500,0.008271394155650964,34160
14,0.022439185586783622,12,3500,0.012416661854197146,34160
15,0.10199435104549526,71,3500,0.05643829465522597,34160
16,0.11808785068815109,71,3500,0.06534358858136542,34160
17,0.07774994858816309,47,3500,0.043022720992558584,34160
18,0.005428098573429187,11,3500,0.0030036234709524016,34160
19,0.06646442370838908,32,3500,0.03677790672613456,34160
20,0.01386202295935791,6,3500,0.007670512418366948,34160
21,-0.03143327726588365,14,3500,-0.017393517838257874,34160
22,0.8733228264204196,19,3500,0.4832507928273869,34160
23,-0.00561339794811145,6,3500,-0.0031061583721557224,34160
24,0.029502617347440894,5,3500,0.016325192462987793,34160
1,-0.011298324071809944,12,2077,-0.007019960094777284,68259
2,-0.047473995631466565,62,2077,-0.029496901731120077,68259
3,-0.013476241573776915,16,2077,-0.008373160255823466,68259
4,0.026833909034542046,15,2077,0.016672647147674906,68259
5,0.007264886811514708,9,2077,0.004513874375152099,68259
6,1.0791913559121116e-4,34,2077,6.705313288042363e-5,68259
7,-0.010645482984247591,86,2077,-0.0066143319366725436,68259
8,0.008505944847459297,143,2077,0.005284977932835591,68259
9,0.0982029012167412,121,2077,0.06101616871239585,68259
10,0.005315092908534783,16,2077,0.003302413692579693,68259
11,0.005750808646292183,29,2077,0.003573135887507263,68259
12,0.04271143141659626,52,2077,0.026537789341998456,68259
13,0.08819740367330958,116,2077,0.05479947736624027,68259
14,0.2397658522991513,249,2077,0.1489731312832376,68259
15,0.01700507520263115,14,2077,0.010565721833825398,68259
16,-0.004913824220959069,16,2077,-0.0030530943991905527,68259
17,0.03200061440639626,39,2077,0.019882863574585883,68259
18,0.9180744018229777,114,2077,0.5704249253138471,68259
19,0.20177678045865102,222,2077,0.12536947408036733,68259
20,-0.002653205920301387,3,2077,-0.0016485099529242714,68259
21,-0.018882389428264226,5,2077,-0.011732148895533033,68259
22,-0.03611961865829549,10,2077,-0.022442114424072134,68259
23,0.004492000112540881,16,2077,0.0027910034563843494,68259
24,0.05891508293933635,27,2077,0.03660556455860105,68259
0,-2.450680152951243e-4,1,2077,-3.322618987581108e-5,49841
1,-0.0021289849002583106,2,2077,-2.886466291961059e-4,49841
2,-0.013073693174017475,12,2077,-0.0017725242980194086,49841
3,-5.1206687581921e-4,3,2077,-6.942575196764547e-5,49841
4,0.0016116230096168646,4,2077,2.185029819630706e-4,49841
5,0.011969951015836406,34,2077,0.0016228795290865966,49841
6,-0.02470268719463899,51,2077,-0.003349177060839288,49841
7,-0.01534066200721659,88,2077,-0.0020798787147257745,49841
8,-0.017140479465055283,97,2077,-0.0023238969988904064,49841
9,0.02231059685296212,70,2077,0.003024858737222331,49841
10,0.021417097207710227,72,2077,0.002903718535261019,49841
11,0.02960942359393927,76,2077,0.004014429746210622,49841
12,-0.009316885997109201,101,2077,-0.0012631783989372955,49841
13,-0.01924089856833068,131,2077,-0.002608670692675642,49841
14,0.024309496365382557,150,2077,0.0032958684594105413,49841
15,0.07579582619106248,104,2077,0.010276357401374529,49841
16,-0.04457603317929826,99,2077,-0.006043594634502617,49841
17,-0.10221527115209365,138,2077,-0.013858291558027515,49841
18,-0.08964668280230056,161,2077,-0.01215424910076018,49841
19,0.17459211483555026,214,2077,0.023671105147521954,49841
20,-0.017786741457791293,54,2077,-0.002411516852726934,49841
21,1.6147743328687054,86,2077,0.21893023667682682,49841
22,2.9693996602596835,170,2077,0.40258961092961554,49841
23,2.7006953334400086,100,2077,0.36615882263351374,49841
24,0.085189053417207,77,2077,0.011549886103137862,49841
0,0.0012666158999519797,17,2077,3.2505753909519374e-4,37368
1,-0.004953770650607952,14,2077,-0.001271309239833217,37368
2,-0.02095430073577237,26,2077,-0.005377599816083951,37368
3,-0.00876688055896359,13,2077,-0.0022498853994697534,37368
4,-0.005049374612969849,10,2077,-0.0012958445300773125,37368
5,0.08465848439217122,121,2077,0.021726301241829782,37368
6,-0.006213080714058153,174,2077,-0.0015944918480717953,37368
7,0.09490842682011995,152,2077,0.024356791717768656,37368
8,0.032853425546774326,166,2077,0.008431327649910685,37368
9,0.09173919514724903,124,2077,0.023543457029292836,37368
10,0.07646944165609207,143,2077,0.019624709054777513,37368
11,0.04618928738029397,186,2077,0.011853771999047436,37368
12,0.16081607454181673,203,2077,0.041270978391708193,37368
13,0.1284631735916202,181,2077,0.032968102700774465,37368
14,0.13587835295791004,167,2077,0.03487109472609723,37368
15,0.12630632805110578,138,2077,0.032414581381774256,37368
16,0.0812026418022032,153,2077,0.020839412258486092,37368
17,0.11249247837641234,146,2077,0.028869468786190202,37368
18,0.16126331203143068,178,2077,0.04138575503218028,37368
19,0.1884953909852044,142,2077,0.048374450318174486,37368
20,0.061952595900324176,38,2077,0.015899183299911083,37368
21,0.8672050984379233,52,2077,0.22255488439685917,37368
