player_id,new_zone,sum_gp,n_pass_or_shot,sum_gp_z
3785,2,0.7980318881306859,13,1.3809620527303212
6571,2,0.010843483152769989,3,-0.35677544478158585
7313,2,0.016630160447002666,5,-0.3440012142967364
8859,2,0.02729948205421567,8,-0.3204484280607804
12780,2,0.03474616896994556,12,-0.30400968607237655
12843,2,0.036173723358832024,12,-0.30085832513309124
12875,2,0.8079602972051902,4,1.4028792565792367
14278,2,0.058689220178059054,18,-0.2511548197835955
15208,2,0.054797501088436416,18,-0.25974588406891086
15310,2,1.8554813319496055,626,3.715307348757387
15337,2,1.9049034087316044,645,3.8244077820029725
15517,2,0.029844199707192633,9,-0.31483090211883946
15891,2,0.016776725757843385,5,-0.3436776678180639
16854,2,0.011897123278329586,4,-0.3544495086480125
17152,2,0.051413665452350196,16,-0.2672157833116583
17279,2,0.006978430666649471,2,-0.36530764189286274
18005,2,0.07399434187163356,23,-0.21736839241408473
18215,2,0.005174012655221404,2,-0.36929093841986427
18681,2,0.009374562253694731,3,-0.36001812329547167
18770,2,0.0066575898554096374,2,-0.36601590576577786
19825,2,0.030174992504038017,9,-0.31410066899631117
20225,2,0.05063409388023822,18,-0.26893670646586976
20226,2,0.003070390658177935,1,-0.3739347350024065
20450,2,0.01636406462582912,5,-0.34458862727622186
20491,2,0.017694204271701878,5,-0.34165231174496713
20525,2,0.014088057060283118,4,-0.3496129691825042
20568,2,0.010928934159735507,4,-0.35658680961106615
27058,2,0.020031833910854255,6,-0.33649193761653434
27678,2,0.029833863882914067,10,-0.3148537187016333
28188,2,0.027768736376175322,8,-0.3194125377631309
28392,2,0.009809328308047139,3,-0.35905836668508984
28573,2,0.01597556807228935,5,-0.34544624284127734
32269,2,0.008977648360011272,3,-0.36089432034305974
33808,2,0.09867014206304119,30,-0.16289596497160544
33823,2,0.014024931466704789,4,-0.3497523204614612
34160,2,0.09688335658593113,30,-0.16684033725141686
34285,2,0.050753463825260636,17,-0.26867319441687404
34291,2,0.0746115350637239,24,-0.216005923472314
34336,2,0.015981938601263537,5,-0.34543217974404744
34361,2,0.055036223600310345,18,-0.25921889833365325
35268,2,0.012229377295927091,4,-0.35371604984523153
36431,2,0.05022205195580444,16,-0.26984629900827467
37143,2,0.10212036195069277,35,-0.15527952088335484
37368,2,0.04224506859707855,12,-0.28745568325711324
37644,2,0.02274544815230172,7,-0.33050156835890043
37740,2,0.0051610487874623225,2,-0.36931955647238546
37828,2,0.003230773845684393,1,-0.37358068522583704
37846,2,0.03082157565968175,10,-0.31267332099713274
37996,2,0.004041143549299467,1,-0.3717917744493134
38099,2,0.0030530603799649855,1,-0.3739729920119134
39226,2,0.011602083245085222,4,-0.35510081667769605
39276,2,0.019272247387380228,6,-0.3381687432911334
40275,2,0.0037778957252360677,1,-0.37237290040609905
41004,2,0.0442903330117954,15,-0.28294071245304003
41210,2,1.6261989860480595,555,3.2091610088582496
41487,2,0.003970831650108121,1,-0.37194698967221734
41492,2,0.003042730354832272,1,-0.3739957957929521
41493,2,0.023784978446134176,8,-0.3282067800211036
41526,2,0.035484119848911644,12,-0.30238064160780875
41528,2,0.0026531445864067015,1,-0.37485581582628724
41551,2,0.09520816473109964,29,-0.17053836390330698
41552,2,0.8278535166558612,20,1.4467940210334131
41556,2,0.3595976801369783,122,0.4131079042130109
41574,2,0.013026817004935033,4,-0.3519556823454245
41599,2,0.01649244798168801,5,-0.34430521790418134
41606,2,0.018861385439855133,6,-0.33907573100589167
41625,2,0.0026553944603205553,1,-0.3748508491750509
41626,2,0.06439035631219861,21,-0.23856942348448165
41627,2,0.17677911007082417,54,0.009531476465226051
41633,2,0.0038953632652861717,1,-0.3721135879622232
41647,2,0.018606413106168167,6,-0.3396385886169465
41667,2,0.00695916080165828,2,-0.3653501805872279
41670,2,0.0059864885063398085,2,-0.3674973782716416
41678,2,0.07171336835520199,25,-0.22240369677739777
41679,2,0.22524324780916996,77,0.11651723603680926
41703,2,0.035296374037130686,11,-0.30279509504115387
41705,2,1.2894767762630206,437,2.4658385634457716
41707,2,0.009618776202675707,3,-0.35947901507960356
41921,2,0.0036497162891639162,1,-0.37265585962026426
42584,2,0.10329200088043818,33,-0.15269309952744015
43684,2,0.023899848140518334,7,-0.32795320238454695
44209,2,0.037055606779332936,12,-0.2989115460919524
45120,2,0.00385413561170005,1,-0.37220459900750535
45122,2,0.028295384825571146,8,-0.3182499485370519
45269,2,0.012654316490250247,4,-0.35277798626671814
45959,2,0.011425590100250866,4,-0.3554904295758193
47407,2,0.003130332844768863,1,-0.37380241117158886
47627,2,0.01244645805935343,4,-0.35323683879459994
47681,2,0.0066668474590302305,2,-0.3659954693812391
49483,2,0.03175046090501564,10,-0.3106227842876298
49839,2,0.04488761698314027,15,-0.2816221935989699
49841,2,0.003955405047536553,1,-0.3719810442715716
49876,2,0.0031884443136194636,1,-0.3736741286945876
49904,2,0.0034512780648242093,1,-0.3730939168136809
